dataset_kind,dataset_id,dataset_slug,dataset_name,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
disease,D103,hemolytic-uremic-syndrome,Hemolytic uremic syndrome,US,United States,D103,Hemolytic uremic syndrome,溶血性尿毒症综合征,Bacterial,2019-02-02,2019-02,1,0.5,0,0.00029604186125467373,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D103,hemolytic-uremic-syndrome,Hemolytic uremic syndrome,US,United States,D103,Hemolytic uremic syndrome,溶血性尿毒症综合征,Bacterial,2019-08-17,2019-08,1,1.0,0,0.00029604186125467373,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D103,hemolytic-uremic-syndrome,Hemolytic uremic syndrome,US,United States,D103,Hemolytic uremic syndrome,溶血性尿毒症综合征,Bacterial,2019-08-24,2019-08,1,1.0,0,0.00029604186125467373,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D103,hemolytic-uremic-syndrome,Hemolytic uremic syndrome,US,United States,D103,Hemolytic uremic syndrome,溶血性尿毒症综合征,Bacterial,2019-08-31,2019-08,3,3.0,0,0.0008881255837640211,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D103,hemolytic-uremic-syndrome,Hemolytic uremic syndrome,US,United States,D103,Hemolytic uremic syndrome,溶血性尿毒症综合征,Bacterial,2019-09-07,2019-09,3,3.0,0,0.0008881255837640211,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D103,hemolytic-uremic-syndrome,Hemolytic uremic syndrome,US,United States,D103,Hemolytic uremic syndrome,溶血性尿毒症综合征,Bacterial,2019-09-14,2019-09,5,5.0,0,0.0014802093062733683,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D103,hemolytic-uremic-syndrome,Hemolytic uremic syndrome,US,United States,D103,Hemolytic uremic syndrome,溶血性尿毒症综合征,Bacterial,2019-09-21,2019-09,8,8.0,0,0.00236833489003739,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D103,hemolytic-uremic-syndrome,Hemolytic uremic syndrome,US,United States,D103,Hemolytic uremic syndrome,溶血性尿毒症综合征,Bacterial,2019-09-28,2019-09,4,4.0,0,0.001184167445018695,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D103,hemolytic-uremic-syndrome,Hemolytic uremic syndrome,US,United States,D103,Hemolytic uremic syndrome,溶血性尿毒症综合征,Bacterial,2019-10-05,2019-10,2,2.0,0,0.0005920837225093475,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D103,hemolytic-uremic-syndrome,Hemolytic uremic syndrome,US,United States,D103,Hemolytic uremic syndrome,溶血性尿毒症综合征,Bacterial,2019-10-12,2019-10,1,1.0,0,0.00029604186125467373,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D103,hemolytic-uremic-syndrome,Hemolytic uremic syndrome,US,United States,D103,Hemolytic uremic syndrome,溶血性尿毒症综合征,Bacterial,2019-10-26,2019-10,1,0.5,0,0.00029604186125467373,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D103,hemolytic-uremic-syndrome,Hemolytic uremic syndrome,US,United States,D103,Hemolytic uremic syndrome,溶血性尿毒症综合征,Bacterial,2019-11-02,2019-11,3,3.0,0,0.0008881255837640211,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D103,hemolytic-uremic-syndrome,Hemolytic uremic syndrome,US,United States,D103,Hemolytic uremic syndrome,溶血性尿毒症综合征,Bacterial,2019-11-09,2019-11,2,2.0,0,0.0005920837225093475,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D103,hemolytic-uremic-syndrome,Hemolytic uremic syndrome,US,United States,D103,Hemolytic uremic syndrome,溶血性尿毒症综合征,Bacterial,2019-11-23,2019-11,1,0.5,0,0.00029604186125467373,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D103,hemolytic-uremic-syndrome,Hemolytic uremic syndrome,US,United States,D103,Hemolytic uremic syndrome,溶血性尿毒症综合征,Bacterial,2019-11-30,2019-11,1,1.0,0,0.00029604186125467373,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D103,hemolytic-uremic-syndrome,Hemolytic uremic syndrome,US,United States,D103,Hemolytic uremic syndrome,溶血性尿毒症综合征,Bacterial,2019-12-07,2019-12,2,2.0,0,0.0005920837225093475,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D103,hemolytic-uremic-syndrome,Hemolytic uremic syndrome,US,United States,D103,Hemolytic uremic syndrome,溶血性尿毒症综合征,Bacterial,2019-12-14,2019-12,3,3.0,0,0.0008881255837640211,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D103,hemolytic-uremic-syndrome,Hemolytic uremic syndrome,US,United States,D103,Hemolytic uremic syndrome,溶血性尿毒症综合征,Bacterial,2019-12-21,2019-12,1,1.0,0,0.00029604186125467373,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
disease,D103,hemolytic-uremic-syndrome,Hemolytic uremic syndrome,US,United States,D103,Hemolytic uremic syndrome,溶血性尿毒症综合征,Bacterial,2019-12-28,2019-12,20,20.0,0,0.005920837225093473,wpp_computed,,nndss_api,US CDC NNDSS,https://data.cdc.gov/browse?category=NNDSS,api,nndss_api; nhss_hiv,US CDC NNDSS; US CDC NHSS HIV,https://data.cdc.gov/browse?category=NNDSS; https://www.cdc.gov/hiv-data/nhss/,api; api
