dataset_kind,dataset_id,dataset_slug,dataset_name,record_kind,country_code,country_name,disease_id,disease_name_en,disease_name_zh,category,date,year_month,value,cases,weekly_equiv_cases,deaths,incidence_rate_per_100k,incidence_rate_source,mortality_rate,series_code,source_series_code,source_system,source_label,metric_type,reporting_basis,temporal_granularity,unit,geography_key,dimension_key,mapping_relation,comparability,aggregation_policy,availability_status,missing_value_policy,definition_version,case_definition,case_definition_uri,quality_status,is_selected_series,data_layer,projection_policy,coverage_status,loss_risk,selected_series_codes,available_series_count,provenance_note,primary_source_scope,primary_source_label,primary_source_url,primary_source_type,source_scopes,source_labels,source_urls,source_types
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,source_series_observation,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2011-04-01,2011-04,0,0,,,,,,SER_NO_FHI_802_MONTHLY,SER_NO_FHI_802_MONTHLY,SRC_NO_FHI_MSIS,PRP-infeksjon/-smittebærertilstand,case_notifications,national_notifiable_disease_registry,monthly,count,country:NO:national,all,exact,conditional,non_additive,active,missing_is_unknown,NO_FHI_MSIS_PRP_infection_or_carriage,FHI MSIS penicillin-resistant pneumococcal surveillance explicitly includes infection and carriage.,,provisional; raw; revised,True,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,public_projection,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2011-05-01,2011-05,2,2,,,0.04037982882182966,wpp_computed,,SER_NO_FHI_802_MONTHLY,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,source_series_observation,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2011-05-01,2011-05,2,2,,,,,,SER_NO_FHI_802_MONTHLY,SER_NO_FHI_802_MONTHLY,SRC_NO_FHI_MSIS,PRP-infeksjon/-smittebærertilstand,case_notifications,national_notifiable_disease_registry,monthly,count,country:NO:national,all,exact,conditional,non_additive,active,missing_is_unknown,NO_FHI_MSIS_PRP_infection_or_carriage,FHI MSIS penicillin-resistant pneumococcal surveillance explicitly includes infection and carriage.,,provisional; raw; revised,True,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,public_projection,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2011-06-01,2011-06,0,0,,,0.0,wpp_computed,,SER_NO_FHI_802_MONTHLY,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,source_series_observation,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2011-06-01,2011-06,0,0,,,,,,SER_NO_FHI_802_MONTHLY,SER_NO_FHI_802_MONTHLY,SRC_NO_FHI_MSIS,PRP-infeksjon/-smittebærertilstand,case_notifications,national_notifiable_disease_registry,monthly,count,country:NO:national,all,exact,conditional,non_additive,active,missing_is_unknown,NO_FHI_MSIS_PRP_infection_or_carriage,FHI MSIS penicillin-resistant pneumococcal surveillance explicitly includes infection and carriage.,,provisional; raw; revised,True,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,public_projection,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2011-07-01,2011-07,0,0,,,0.0,wpp_computed,,SER_NO_FHI_802_MONTHLY,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,source_series_observation,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2011-07-01,2011-07,0,0,,,,,,SER_NO_FHI_802_MONTHLY,SER_NO_FHI_802_MONTHLY,SRC_NO_FHI_MSIS,PRP-infeksjon/-smittebærertilstand,case_notifications,national_notifiable_disease_registry,monthly,count,country:NO:national,all,exact,conditional,non_additive,active,missing_is_unknown,NO_FHI_MSIS_PRP_infection_or_carriage,FHI MSIS penicillin-resistant pneumococcal surveillance explicitly includes infection and carriage.,,provisional; raw; revised,True,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,public_projection,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2011-08-01,2011-08,0,0,,,0.0,wpp_computed,,SER_NO_FHI_802_MONTHLY,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,source_series_observation,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2011-08-01,2011-08,0,0,,,,,,SER_NO_FHI_802_MONTHLY,SER_NO_FHI_802_MONTHLY,SRC_NO_FHI_MSIS,PRP-infeksjon/-smittebærertilstand,case_notifications,national_notifiable_disease_registry,monthly,count,country:NO:national,all,exact,conditional,non_additive,active,missing_is_unknown,NO_FHI_MSIS_PRP_infection_or_carriage,FHI MSIS penicillin-resistant pneumococcal surveillance explicitly includes infection and carriage.,,provisional; raw; revised,True,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,public_projection,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2011-09-01,2011-09,0,0,,,0.0,wpp_computed,,SER_NO_FHI_802_MONTHLY,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,source_series_observation,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2011-09-01,2011-09,0,0,,,,,,SER_NO_FHI_802_MONTHLY,SER_NO_FHI_802_MONTHLY,SRC_NO_FHI_MSIS,PRP-infeksjon/-smittebærertilstand,case_notifications,national_notifiable_disease_registry,monthly,count,country:NO:national,all,exact,conditional,non_additive,active,missing_is_unknown,NO_FHI_MSIS_PRP_infection_or_carriage,FHI MSIS penicillin-resistant pneumococcal surveillance explicitly includes infection and carriage.,,provisional; raw; revised,True,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,public_projection,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2011-10-01,2011-10,1,1,,,0.02018991441091483,wpp_computed,,SER_NO_FHI_802_MONTHLY,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,source_series_observation,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2011-10-01,2011-10,1,1,,,,,,SER_NO_FHI_802_MONTHLY,SER_NO_FHI_802_MONTHLY,SRC_NO_FHI_MSIS,PRP-infeksjon/-smittebærertilstand,case_notifications,national_notifiable_disease_registry,monthly,count,country:NO:national,all,exact,conditional,non_additive,active,missing_is_unknown,NO_FHI_MSIS_PRP_infection_or_carriage,FHI MSIS penicillin-resistant pneumococcal surveillance explicitly includes infection and carriage.,,provisional; raw; revised,True,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,public_projection,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2011-11-01,2011-11,0,0,,,0.0,wpp_computed,,SER_NO_FHI_802_MONTHLY,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,source_series_observation,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2011-11-01,2011-11,0,0,,,,,,SER_NO_FHI_802_MONTHLY,SER_NO_FHI_802_MONTHLY,SRC_NO_FHI_MSIS,PRP-infeksjon/-smittebærertilstand,case_notifications,national_notifiable_disease_registry,monthly,count,country:NO:national,all,exact,conditional,non_additive,active,missing_is_unknown,NO_FHI_MSIS_PRP_infection_or_carriage,FHI MSIS penicillin-resistant pneumococcal surveillance explicitly includes infection and carriage.,,provisional; raw; revised,True,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,public_projection,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2011-12-01,2011-12,0,0,,,0.0,wpp_computed,,SER_NO_FHI_802_MONTHLY,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,source_series_observation,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2011-12-01,2011-12,0,0,,,,,,SER_NO_FHI_802_MONTHLY,SER_NO_FHI_802_MONTHLY,SRC_NO_FHI_MSIS,PRP-infeksjon/-smittebærertilstand,case_notifications,national_notifiable_disease_registry,monthly,count,country:NO:national,all,exact,conditional,non_additive,active,missing_is_unknown,NO_FHI_MSIS_PRP_infection_or_carriage,FHI MSIS penicillin-resistant pneumococcal surveillance explicitly includes infection and carriage.,,provisional; raw; revised,True,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,public_projection,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2012-01-01,2012-01,0,0,,,0.0,wpp_computed,,SER_NO_FHI_802_MONTHLY,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,source_series_observation,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2012-01-01,2012-01,0,0,,,,,,SER_NO_FHI_802_MONTHLY,SER_NO_FHI_802_MONTHLY,SRC_NO_FHI_MSIS,PRP-infeksjon/-smittebærertilstand,case_notifications,national_notifiable_disease_registry,monthly,count,country:NO:national,all,exact,conditional,non_additive,active,missing_is_unknown,NO_FHI_MSIS_PRP_infection_or_carriage,FHI MSIS penicillin-resistant pneumococcal surveillance explicitly includes infection and carriage.,,provisional; raw; revised,True,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,public_projection,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2012-02-01,2012-02,1,1,,,0.019926441541051207,wpp_computed,,SER_NO_FHI_802_MONTHLY,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,source_series_observation,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2012-02-01,2012-02,1,1,,,,,,SER_NO_FHI_802_MONTHLY,SER_NO_FHI_802_MONTHLY,SRC_NO_FHI_MSIS,PRP-infeksjon/-smittebærertilstand,case_notifications,national_notifiable_disease_registry,monthly,count,country:NO:national,all,exact,conditional,non_additive,active,missing_is_unknown,NO_FHI_MSIS_PRP_infection_or_carriage,FHI MSIS penicillin-resistant pneumococcal surveillance explicitly includes infection and carriage.,,provisional; raw; revised,True,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,public_projection,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2012-03-01,2012-03,5,5,,,0.09963220770525605,wpp_computed,,SER_NO_FHI_802_MONTHLY,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,source_series_observation,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2012-03-01,2012-03,5,5,,,,,,SER_NO_FHI_802_MONTHLY,SER_NO_FHI_802_MONTHLY,SRC_NO_FHI_MSIS,PRP-infeksjon/-smittebærertilstand,case_notifications,national_notifiable_disease_registry,monthly,count,country:NO:national,all,exact,conditional,non_additive,active,missing_is_unknown,NO_FHI_MSIS_PRP_infection_or_carriage,FHI MSIS penicillin-resistant pneumococcal surveillance explicitly includes infection and carriage.,,provisional; raw; revised,True,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,public_projection,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2012-04-01,2012-04,0,0,,,0.0,wpp_computed,,SER_NO_FHI_802_MONTHLY,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,source_series_observation,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2012-04-01,2012-04,0,0,,,,,,SER_NO_FHI_802_MONTHLY,SER_NO_FHI_802_MONTHLY,SRC_NO_FHI_MSIS,PRP-infeksjon/-smittebærertilstand,case_notifications,national_notifiable_disease_registry,monthly,count,country:NO:national,all,exact,conditional,non_additive,active,missing_is_unknown,NO_FHI_MSIS_PRP_infection_or_carriage,FHI MSIS penicillin-resistant pneumococcal surveillance explicitly includes infection and carriage.,,provisional; raw; revised,True,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,public_projection,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2012-05-01,2012-05,1,1,,,0.019926441541051207,wpp_computed,,SER_NO_FHI_802_MONTHLY,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,source_series_observation,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2012-05-01,2012-05,1,1,,,,,,SER_NO_FHI_802_MONTHLY,SER_NO_FHI_802_MONTHLY,SRC_NO_FHI_MSIS,PRP-infeksjon/-smittebærertilstand,case_notifications,national_notifiable_disease_registry,monthly,count,country:NO:national,all,exact,conditional,non_additive,active,missing_is_unknown,NO_FHI_MSIS_PRP_infection_or_carriage,FHI MSIS penicillin-resistant pneumococcal surveillance explicitly includes infection and carriage.,,provisional; raw; revised,True,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,public_projection,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2012-06-01,2012-06,0,0,,,0.0,wpp_computed,,SER_NO_FHI_802_MONTHLY,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,source_series_observation,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2012-06-01,2012-06,0,0,,,,,,SER_NO_FHI_802_MONTHLY,SER_NO_FHI_802_MONTHLY,SRC_NO_FHI_MSIS,PRP-infeksjon/-smittebærertilstand,case_notifications,national_notifiable_disease_registry,monthly,count,country:NO:national,all,exact,conditional,non_additive,active,missing_is_unknown,NO_FHI_MSIS_PRP_infection_or_carriage,FHI MSIS penicillin-resistant pneumococcal surveillance explicitly includes infection and carriage.,,provisional; raw; revised,True,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,public_projection,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2012-07-01,2012-07,1,1,,,0.019926441541051207,wpp_computed,,SER_NO_FHI_802_MONTHLY,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,source_series_observation,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2012-07-01,2012-07,1,1,,,,,,SER_NO_FHI_802_MONTHLY,SER_NO_FHI_802_MONTHLY,SRC_NO_FHI_MSIS,PRP-infeksjon/-smittebærertilstand,case_notifications,national_notifiable_disease_registry,monthly,count,country:NO:national,all,exact,conditional,non_additive,active,missing_is_unknown,NO_FHI_MSIS_PRP_infection_or_carriage,FHI MSIS penicillin-resistant pneumococcal surveillance explicitly includes infection and carriage.,,provisional; raw; revised,True,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
disease,D239,penicillin-non-susceptible-resistant-pneumococcal-surveillance,Penicillin-non-susceptible/resistant pneumococcal surveillance,public_projection,NO,Norway,D239,Penicillin-non-susceptible/resistant pneumococcal surveillance,青霉素敏感性降低或耐药肺炎球菌监测,Bacterial,2012-08-01,2012-08,1,1,,,0.019926441541051207,wpp_computed,,SER_NO_FHI_802_MONTHLY,,,,,,monthly,,,,,,,,,,,,,,series_registry,single_series,parity,,SER_NO_FHI_802_MONTHLY,1,The public curve is read directly from one registered source series.,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api,fhi_msis,Norway FHI MSIS Statistics Bank,https://allvis.fhi.no/msis,official_json_api
